code,date,value,,,,
VIX,29/11/1990,23.91,,,,
VIX,30/11/1990,22.16,,,,
VIX,03/12/1990,22.29,,,,
VIX,04/12/1990,22.03,,,,
VIX,05/12/1990,20.94,,,,
VIX,06/12/1990,22.62,,,,
VIX,07/12/1990,22.59,,,,
VIX,10/12/1990,23.58,,,,
VIX,11/12/1990,23.75,,,,
VIX,12/12/1990,21.28,,,,
VIX,13/12/1990,23.05,,,,
VIX,14/12/1990,23.85,,,,
VIX,17/12/1990,24.85,,,,
VIX,18/12/1990,23.11,,,,
VIX,19/12/1990,23.08,,,,
VIX,20/12/1990,23.13,,,,
VIX,21/12/1990,22.66,,,,
VIX,24/12/1990,24.03,,,,
VIX,25/12/1990,.,,,,
VIX,26/12/1990,24.18,,,,
VIX,27/12/1990,24.81,,,,
VIX,28/12/1990,25.05,,,,
VIX,31/12/1990,26.38,,,,
VIX,01/01/1991,.,,,,
VIX,02/01/1991,26.62,,,,
VIX,03/01/1991,27.93,,,,
VIX,04/01/1991,27.19,,,,
VIX,07/01/1991,28.95,,,,
VIX,08/01/1991,30.38,,,,
VIX,09/01/1991,33.3,,,,
VIX,10/01/1991,31.33,,,,
VIX,11/01/1991,32.63,,,,
VIX,14/01/1991,36.2,,,,
VIX,15/01/1991,36.16,,,,
VIX,16/01/1991,33.2,,,,
VIX,17/01/1991,27.45,,,,
VIX,18/01/1991,25.39,,,,
VIX,21/01/1991,24.33,,,,
VIX,22/01/1991,24.9,,,,
VIX,23/01/1991,23.92,,,,
VIX,24/01/1991,22.86,,,,
VIX,25/01/1991,22.2,,,,
VIX,28/01/1991,23.05,,,,
VIX,29/01/1991,23.17,,,,
VIX,30/01/1991,21.37,,,,
VIX,31/01/1991,20.91,,,,
VIX,01/02/1991,21.04,,,,
VIX,04/02/1991,21.86,,,,
VIX,05/02/1991,21.46,,,,
VIX,06/02/1991,22.68,,,,
VIX,07/02/1991,23.6,,,,
VIX,08/02/1991,23.38,,,,
VIX,11/02/1991,22.56,,,,
VIX,12/02/1991,22.26,,,,
VIX,13/02/1991,20.86,,,,
VIX,14/02/1991,21.48,,,,
VIX,15/02/1991,19.57,,,,
VIX,18/02/1991,.,,,,
VIX,19/02/1991,19.84,,,,
VIX,20/02/1991,22.26,,,,
VIX,21/02/1991,20.78,,,,
VIX,22/02/1991,21.01,,,,
VIX,25/02/1991,22.86,,,,
VIX,26/02/1991,20.38,,,,
VIX,27/02/1991,21.26,,,,
VIX,28/02/1991,21.23,,,,
VIX,01/03/1991,.,,,,
VIX,04/03/1991,20.86,,,,
VIX,05/03/1991,20.45,,,,
VIX,06/03/1991,20.55,,,,
VIX,07/03/1991,21.05,,,,
VIX,08/03/1991,20.81,,,,
VIX,11/03/1991,20.88,,,,
VIX,12/03/1991,18.82,,,,
VIX,13/03/1991,16.09,,,,
VIX,14/03/1991,14.94,,,,
VIX,15/03/1991,14.9,,,,
VIX,18/03/1991,15.79,,,,
VIX,19/03/1991,16.11,,,,
VIX,20/03/1991,16.04,,,,
VIX,21/03/1991,16.86,,,,
VIX,22/03/1991,16.49,,,,
VIX,25/03/1991,16.76,,,,
VIX,26/03/1991,16.31,,,,
VIX,27/03/1991,16.55,,,,
VIX,28/03/1991,16.88,,,,
VIX,29/03/1991,.,,,,
VIX,01/04/1991,17.42,,,,
VIX,02/04/1991,17.4,,,,
VIX,03/04/1991,17.61,,,,
VIX,04/04/1991,18.01,,,,
VIX,05/04/1991,17.63,,,,
VIX,08/04/1991,17.41,,,,
VIX,09/04/1991,20.12,,,,
VIX,10/04/1991,19.73,,,,
VIX,11/04/1991,17.24,,,,
VIX,12/04/1991,18.45,,,,
VIX,15/04/1991,16.5,,,,
VIX,16/04/1991,15.82,,,,
VIX,17/04/1991,15.47,,,,
VIX,18/04/1991,16.26,,,,
VIX,19/04/1991,15.68,,,,
VIX,22/04/1991,16.78,,,,
VIX,23/04/1991,17.02,,,,
VIX,24/04/1991,16.72,,,,
VIX,25/04/1991,17.15,,,,
VIX,26/04/1991,17.27,,,,
VIX,29/04/1991,18.27,,,,
VIX,30/04/1991,18.24,,,,
VIX,01/05/1991,17.77,,,,
VIX,02/05/1991,17.52,,,,
VIX,03/05/1991,17.24,,,,
VIX,06/05/1991,17.92,,,,
VIX,07/05/1991,17.46,,,,
VIX,08/05/1991,17.78,,,,
VIX,09/05/1991,17.17,,,,
VIX,10/05/1991,17.54,,,,
VIX,13/05/1991,17.66,,,,
VIX,14/05/1991,18,,,,
VIX,15/05/1991,18.38,,,,
VIX,16/05/1991,17.24,,,,
VIX,17/05/1991,16.64,,,,
VIX,20/05/1991,17.1,,,,
VIX,21/05/1991,16.07,,,,
VIX,22/05/1991,16.16,,,,
VIX,23/05/1991,16.11,,,,
VIX,24/05/1991,15.23,,,,
VIX,27/05/1991,.,,,,
VIX,28/05/1991,15.67,,,,
VIX,29/05/1991,15.9,,,,
VIX,30/05/1991,16.02,,,,
VIX,31/05/1991,15.93,,,,
VIX,03/06/1991,16.87,,,,
VIX,04/06/1991,16.17,,,,
VIX,05/06/1991,16.4,,,,
VIX,06/06/1991,16.93,,,,
VIX,07/06/1991,16.98,,,,
VIX,10/06/1991,17.47,,,,
VIX,11/06/1991,17.32,,,,
VIX,12/06/1991,17.72,,,,
VIX,13/06/1991,16.99,,,,
VIX,14/06/1991,15.98,,,,
VIX,17/06/1991,15.5,,,,
VIX,18/06/1991,16.14,,,,
VIX,19/06/1991,17.44,,,,
VIX,20/06/1991,16.75,,,,
VIX,21/06/1991,16.51,,,,
VIX,24/06/1991,18.28,,,,
VIX,25/06/1991,17.85,,,,
VIX,26/06/1991,17.98,,,,
VIX,27/06/1991,17.87,,,,
VIX,28/06/1991,19.55,,,,
VIX,01/07/1991,18.64,,,,
VIX,02/07/1991,17.63,,,,
VIX,03/07/1991,19.47,,,,
VIX,04/07/1991,.,,,,
VIX,05/07/1991,18.35,,,,
VIX,08/07/1991,20.29,,,,
VIX,09/07/1991,19.76,,,,
VIX,10/07/1991,19.19,,,,
VIX,11/07/1991,17.39,,,,
VIX,12/07/1991,18.29,,,,
VIX,15/07/1991,17.78,,,,
VIX,16/07/1991,17.49,,,,
VIX,17/07/1991,17.52,,,,
VIX,18/07/1991,15.77,,,,
VIX,19/07/1991,15.5,,,,
VIX,22/07/1991,16.9,,,,
VIX,23/07/1991,16.58,,,,
VIX,24/07/1991,16.41,,,,
VIX,25/07/1991,15.74,,,,
VIX,26/07/1991,15.45,,,,
VIX,29/07/1991,15.67,,,,
VIX,30/07/1991,15.47,,,,
VIX,31/07/1991,15.18,,,,
VIX,01/08/1991,15.47,,,,
VIX,02/08/1991,15.26,,,,
VIX,05/08/1991,15.92,,,,
VIX,06/08/1991,15.54,,,,
VIX,07/08/1991,15.56,,,,
VIX,08/08/1991,15.98,,,,
VIX,09/08/1991,15.45,,,,
VIX,12/08/1991,15.26,,,,
VIX,13/08/1991,14.73,,,,
VIX,14/08/1991,15.09,,,,
VIX,15/08/1991,15.19,,,,
VIX,16/08/1991,16.01,,,,
VIX,19/08/1991,21.19,,,,
VIX,20/08/1991,18.86,,,,
VIX,21/08/1991,15.62,,,,
VIX,22/08/1991,14.59,,,,
VIX,23/08/1991,14.41,,,,
VIX,26/08/1991,14.81,,,,
VIX,27/08/1991,15.46,,,,
VIX,28/08/1991,15.31,,,,
VIX,29/08/1991,14.82,,,,
VIX,30/08/1991,14.46,,,,
VIX,02/09/1991,.,,,,
VIX,03/09/1991,16.57,,,,
VIX,04/09/1991,17.18,,,,
VIX,05/09/1991,17.31,,,,
VIX,06/09/1991,16.76,,,,
VIX,09/09/1991,17.73,,,,
VIX,10/09/1991,18.22,,,,
VIX,11/09/1991,17.96,,,,
VIX,12/09/1991,16.21,,,,
VIX,13/09/1991,17.88,,,,
VIX,16/09/1991,17.82,,,,
VIX,17/09/1991,17.68,,,,
VIX,18/09/1991,17.56,,,,
VIX,19/09/1991,17.56,,,,
VIX,20/09/1991,17.08,,,,
VIX,23/09/1991,16.38,,,,
VIX,24/09/1991,16.04,,,,
VIX,25/09/1991,15.68,,,,
VIX,26/09/1991,15.35,,,,
VIX,27/09/1991,16.31,,,,
VIX,30/09/1991,15.85,,,,
VIX,01/10/1991,14.81,,,,
VIX,02/10/1991,15.81,,,,
VIX,03/10/1991,17.04,,,,
VIX,04/10/1991,15.63,,,,
VIX,07/10/1991,18.58,,,,
VIX,08/10/1991,17.81,,,,
VIX,09/10/1991,18.54,,,,
VIX,10/10/1991,17.8,,,,
VIX,11/10/1991,17.6,,,,
VIX,14/10/1991,16.71,,,,
VIX,15/10/1991,16.22,,,,
VIX,16/10/1991,14.85,,,,
VIX,17/10/1991,16.32,,,,
VIX,18/10/1991,15.87,,,,
VIX,21/10/1991,16.66,,,,
VIX,22/10/1991,16.55,,,,
VIX,23/10/1991,16.26,,,,
VIX,24/10/1991,15.62,,,,
VIX,25/10/1991,15.75,,,,
VIX,28/10/1991,15.45,,,,
VIX,29/10/1991,15.55,,,,
VIX,30/10/1991,15.46,,,,
VIX,31/10/1991,15.48,,,,
VIX,01/11/1991,15.6,,,,
VIX,04/11/1991,16.35,,,,
VIX,05/11/1991,16.48,,,,
VIX,06/11/1991,16.47,,,,
VIX,07/11/1991,15.97,,,,
VIX,08/11/1991,15.43,,,,
VIX,11/11/1991,14.89,,,,
VIX,12/11/1991,14.04,,,,
VIX,13/11/1991,13.95,,,,
VIX,14/11/1991,13.96,,,,
VIX,15/11/1991,21.18,,,,
VIX,18/11/1991,18.28,,,,
VIX,19/11/1991,20.34,,,,
VIX,20/11/1991,20.4,,,,
VIX,21/11/1991,19.11,,,,
VIX,22/11/1991,21.2,,,,
VIX,25/11/1991,21.92,,,,
VIX,26/11/1991,19.8,,,,
VIX,27/11/1991,19.84,,,,
VIX,28/11/1991,.,,,,
VIX,29/11/1991,20.26,,,,
VIX,02/12/1991,20.18,,,,
VIX,03/12/1991,19.7,,,,
VIX,04/12/1991,19.54,,,,
VIX,05/12/1991,20.19,,,,
VIX,06/12/1991,19.04,,,,
VIX,09/12/1991,19.74,,,,
VIX,10/12/1991,19.89,,,,
VIX,11/12/1991,20.57,,,,
VIX,12/12/1991,19.08,,,,
VIX,13/12/1991,17.88,,,,
VIX,16/12/1991,17.62,,,,
VIX,17/12/1991,18.12,,,,
VIX,18/12/1991,17.78,,,,
VIX,19/12/1991,17.96,,,,
VIX,20/12/1991,17.65,,,,
VIX,23/12/1991,16.61,,,,
VIX,24/12/1991,15.67,,,,
VIX,25/12/1991,.,,,,
VIX,26/12/1991,15.44,,,,
VIX,27/12/1991,15.7,,,,
VIX,30/12/1991,17.63,,,,
VIX,31/12/1991,19.31,,,,
VIX,01/01/1992,.,,,,
VIX,02/01/1992,18.95,,,,
VIX,03/01/1992,18.75,,,,
VIX,06/01/1992,18.96,,,,
VIX,07/01/1992,19.23,,,,
VIX,08/01/1992,18.72,,,,
VIX,09/01/1992,18.96,,,,
VIX,10/01/1992,18.45,,,,
VIX,13/01/1992,18.01,,,,
VIX,14/01/1992,17.01,,,,
VIX,15/01/1992,17.39,,,,
VIX,16/01/1992,17.64,,,,
VIX,17/01/1992,16.32,,,,
VIX,20/01/1992,16.42,,,,
VIX,21/01/1992,17.92,,,,
VIX,22/01/1992,16.75,,,,
VIX,23/01/1992,16.46,,,,
VIX,24/01/1992,16.24,,,,
VIX,27/01/1992,16.67,,,,
VIX,28/01/1992,17.67,,,,
VIX,29/01/1992,17.62,,,,
VIX,30/01/1992,17.49,,,,
VIX,31/01/1992,17.4,,,,
VIX,03/02/1992,18.2,,,,
VIX,04/02/1992,17.96,,,,
VIX,05/02/1992,18.22,,,,
VIX,06/02/1992,18.79,,,,
VIX,07/02/1992,18.51,,,,
VIX,10/02/1992,18.56,,,,
VIX,11/02/1992,17.7,,,,
VIX,12/02/1992,17.37,,,,
VIX,13/02/1992,17.45,,,,
VIX,14/02/1992,17.03,,,,
VIX,17/02/1992,.,,,,
VIX,18/02/1992,18.22,,,,
VIX,19/02/1992,17.16,,,,
VIX,20/02/1992,16.72,,,,
VIX,21/02/1992,16.87,,,,
VIX,24/02/1992,17.13,,,,
VIX,25/02/1992,16.35,,,,
VIX,26/02/1992,16.64,,,,
VIX,27/02/1992,16.51,,,,
